setup_time,setup_type,entry_time,exit_time,direction,size,gross_pnl,net_pnl,commission,slippage,mae,mfe,time_in_trade_min,exit_reason
2024-09-26 10:09:00-04:00,DOWNSIDE_ATTEMPT,2024-09-26 10:10:00-04:00,2024-09-26 10:24:00-04:00,LONG,1,-21.25,-24.9,2.4,1.25,35.0,8.75,14.0,STOP_LOSS
2024-09-26 11:25:00-04:00,DOWNSIDE_ATTEMPT,2024-09-26 11:39:00-04:00,2024-09-26 12:24:00-04:00,LONG,1,-10.0,-13.65,2.4,1.25,21.25,53.75,45.0,TIME_STOP
2024-09-26 13:25:00-04:00,DOWNSIDE_ATTEMPT,2024-09-26 13:29:00-04:00,2024-09-26 14:14:00-04:00,LONG,1,60.0,56.35,2.4,1.25,1.25,63.75,45.0,TIME_STOP
2024-09-26 14:43:00-04:00,UPSIDE_ATTEMPT,2024-09-26 15:01:00-04:00,2024-09-26 15:13:00-04:00,SHORT,2,-30.0,-37.3,4.8,2.5,40.0,5.0,12.0,STOP_LOSS
2024-09-27 10:11:00-04:00,UPSIDE_ATTEMPT,2024-09-27 10:12:00-04:00,2024-09-27 10:21:00-04:00,SHORT,1,-22.5,-26.15,2.4,1.25,27.5,15.0,9.0,STOP_LOSS
2024-09-27 11:23:00-04:00,DOWNSIDE_ATTEMPT,2024-09-27 11:27:00-04:00,2024-09-27 11:34:00-04:00,LONG,2,-22.5,-29.8,4.8,2.5,40.0,27.5,7.0,STOP_LOSS
2024-09-27 13:21:00-04:00,DOWNSIDE_ATTEMPT,2024-09-27 13:24:00-04:00,2024-09-27 13:33:00-04:00,LONG,1,-16.25,-19.9,2.4,1.25,16.25,1.25,9.0,STOP_LOSS
2024-09-30 10:17:00-04:00,DOWNSIDE_ATTEMPT,2024-09-30 10:21:00-04:00,2024-09-30 10:24:00-04:00,LONG,1,-13.75,-17.4,2.4,1.25,15.0,0.0,3.0,STOP_LOSS
2024-09-30 11:25:00-04:00,UPSIDE_ATTEMPT,2024-09-30 11:36:00-04:00,2024-09-30 11:52:00-04:00,SHORT,1,-16.25,-19.9,2.4,1.25,20.0,26.25,16.0,STOP_LOSS
2024-09-30 13:14:00-04:00,DOWNSIDE_ATTEMPT,2024-09-30 13:16:00-04:00,2024-09-30 14:01:00-04:00,LONG,1,12.5,8.85,2.4,1.25,8.75,27.5,45.0,TIME_STOP
2024-09-30 15:21:00-04:00,UPSIDE_ATTEMPT,2024-09-30 15:25:00-04:00,2024-09-30 15:26:00-04:00,SHORT,1,-13.75,-17.4,2.4,1.25,15.0,0.0,1.0,STOP_LOSS
2024-10-01 10:16:00-04:00,DOWNSIDE_ATTEMPT,2024-10-01 10:18:00-04:00,2024-10-01 10:28:00-04:00,LONG,2,-35.0,-42.3,4.8,2.5,47.5,162.5,10.0,STOP_LOSS
2024-10-01 11:51:00-04:00,UPSIDE_ATTEMPT,2024-10-01 11:55:00-04:00,2024-10-01 12:05:00-04:00,SHORT,1,-26.25,-29.9,2.4,1.25,31.25,36.25,10.0,STOP_LOSS
2024-10-01 13:19:00-04:00,DOWNSIDE_ATTEMPT,2024-10-01 13:20:00-04:00,2024-10-01 13:25:00-04:00,LONG,1,-13.75,-17.4,2.4,1.25,22.5,17.5,5.0,STOP_LOSS
2024-10-02 10:11:00-04:00,UPSIDE_ATTEMPT,2024-10-02 10:22:00-04:00,2024-10-02 10:26:00-04:00,SHORT,2,-42.5,-49.8,4.8,2.5,42.5,25.0,4.0,STOP_LOSS
2024-10-02 11:49:00-04:00,UPSIDE_ATTEMPT,2024-10-02 11:53:00-04:00,2024-10-02 12:06:00-04:00,SHORT,1,-13.75,-17.4,2.4,1.25,16.25,13.75,13.0,STOP_LOSS
2024-10-02 13:41:00-04:00,DOWNSIDE_ATTEMPT,2024-10-02 13:44:00-04:00,2024-10-02 14:29:00-04:00,LONG,1,13.75,10.1,2.4,1.25,22.5,62.5,45.0,TIME_STOP
2024-10-02 15:09:00-04:00,UPSIDE_ATTEMPT,2024-10-02 15:23:00-04:00,2024-10-02 16:08:00-04:00,SHORT,1,3.75,0.10000000000000009,2.4,1.25,16.25,27.5,45.0,TIME_STOP
2024-10-03 10:08:00-04:00,UPSIDE_ATTEMPT,2024-10-03 10:13:00-04:00,2024-10-03 10:58:00-04:00,SHORT,1,40.0,36.35,2.4,1.25,75.0,86.25,45.0,TIME_STOP
2024-10-03 11:01:00-04:00,DOWNSIDE_ATTEMPT,2024-10-03 11:06:00-04:00,2024-10-03 11:07:00-04:00,LONG,1,-23.75,-27.4,2.4,1.25,23.75,5.0,1.0,STOP_LOSS
2024-10-03 13:03:00-04:00,DOWNSIDE_ATTEMPT,2024-10-03 13:04:00-04:00,2024-10-03 13:49:00-04:00,LONG,1,48.75,45.1,2.4,1.25,5.0,86.25,45.0,TIME_STOP
2024-10-03 14:07:00-04:00,UPSIDE_ATTEMPT,2024-10-03 14:22:00-04:00,2024-10-03 15:07:00-04:00,SHORT,1,15.0,11.35,2.4,1.25,32.5,16.25,45.0,TIME_STOP
2024-10-03 15:14:00-04:00,DOWNSIDE_ATTEMPT,2024-10-03 15:22:00-04:00,2024-10-03 15:28:00-04:00,LONG,1,-20.0,-23.65,2.4,1.25,22.5,3.75,6.0,STOP_LOSS
2024-10-04 10:12:00-04:00,DOWNSIDE_ATTEMPT,2024-10-04 10:13:00-04:00,2024-10-04 10:23:00-04:00,LONG,1,-30.0,-33.65,2.4,1.25,40.0,65.0,10.0,STOP_LOSS
2024-10-04 11:28:00-04:00,DOWNSIDE_ATTEMPT,2024-10-04 11:40:00-04:00,2024-10-04 12:25:00-04:00,LONG,1,21.25,17.6,2.4,1.25,20.0,82.5,45.0,TIME_STOP
2024-10-04 13:03:00-04:00,UPSIDE_ATTEMPT,2024-10-04 13:05:00-04:00,2024-10-04 13:12:00-04:00,SHORT,1,-11.25,-14.9,2.4,1.25,12.5,13.75,7.0,STOP_LOSS
2024-10-07 10:13:00-04:00,UPSIDE_ATTEMPT,2024-10-07 10:25:00-04:00,2024-10-07 11:10:00-04:00,SHORT,1,11.25,7.6,2.4,1.25,11.25,42.5,45.0,TIME_STOP
